"Marca temporal","¿Cuál consideras que era el nivel de planeación de los profesores? (Planificación de las clases y del curso)","¿Qué tan útiles fueron los recursos usados (presentaciones y software) durante la clase para ti? (Recursos usados)","Califica la puntualidad y la toma de asistencia de tus maestros (Puntualidad y toma de asistencia)","¿Qué tal eran las explicaciones que daban los profesores? (Explicación)","Califica la profundización de los temas vistos en clase  (Profundidad de los temas)","¿Qué tan bien consideras que los profesores dominaban el tema que enseñaban? (Dominio del tema)","¿Qué tal crees que aprovechaban el tiempo los profesores? (Uso del tiempo)","Califica que tan bien fueron resueltas tus dudas que tuviste durante las clases (Retroalimentación)","¿Cómo calificarías el ambiente de las clases? (Ambiente)","¿Piensas que los profesores fueron capaces de identificar sus necesidades y dudas? (Atención a los alumnos)","¿Crees que hubo un ambiente respetuoso entre todos los involucrados en las sesiones de clases? (Respetuoso)","¿Cuál consideras que fue el nivel de servicialidad de los profesores? (Servicial)","¿Qué tan trabajadores consideras que fueron los profesores? (Trabajador)","¿Crees que se mantuvo la fraternidad entre alumnos y profesores? (Fraternidad)","Califica la integridad de tus maestros (Integridad)","Con el objetivo de mejorar el curso, describe tu experiencia vivida en este curso"
"2021/04/28 2:54:14 p. m. GMT-5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fue muy buena pero tuve problemas para enteder algunas cosas."
"2021/04/28 2:55:22 p. m. GMT-5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Me gustó,aprendí más cosas y desarrolle habilidades"
"2021/04/28 2:56:56 p. m. GMT-5","5","4","5","5","5","5","5","5","5","4","5","5","4","5","5","Mmm pues si aprendí algunas cosas que no sabía muy bien y pues si me gusto :))."
"2021/04/28 2:57:19 p. m. GMT-5","4","3","5","3","4","4","4","3","3","4","5","4","4","5","2","Dierón muy bien los cursos y explicarón muy bien, lo malo es que algunos temas no les entendi muy bien por que estaban un poco avansados pero de ahí en fuera muy buen trabajo "
"2021/04/28 2:57:27 p. m. GMT-5","5","4","5","4","4","5","4","","5","4","5","5","5","4","5","El tema es difícil pero interesante. A veces no entiendo algunos temas pero se pueden investigar."
"2021/04/28 2:58:06 p. m. GMT-5","3","3","2","1","5","3","2","5","1","5","","2","5","1","3","Que de grande quiero ser un Policía o un bombero "
"2021/04/28 2:59:31 p. m. GMT-5","3","2","3","3","3","5","4","4","4","1","2","2","3","5","4","Que de grande quiero ser Policía o bombero"
"2021/04/28 3:00:27 p. m. GMT-5","3","3","4","3","4","5","4","4","4","4","4","3","4","4","4","creo que fue una experiencia agradable al aprender algo nuevo "
"2021/04/28 3:01:26 p. m. GMT-5","5","4","5","4","3","5","4","5","3","4","5","5","4","3","5","es buena los profesores explican bien y respondían nuestras dudas"
"2021/04/28 3:01:30 p. m. GMT-5","5","5","5","5","5","4","5","4","5","4","5","4","5","5","4",""
"2021/04/28 5:46:29 p. m. GMT-5","4","5","5","4","5","4","5","4","5","4","5","4","3","4","4","El curso me pareció perfecto, aprendimos varias cosas. Unas un poco complicadas pero nada que no se retomarán en otras clases, no creo que le tengan que cambiar algo así esta bien  "
"2021/04/28 7:29:53 p. m. GMT-5","5","4","5","4","4","5","5","4","5","4","5","5","4","4","5","Es muy buena pues nos han enseñado bien y nos han reforzado muchos temas"